,Lat,Lon,Shape
622,-56.4334516612,16.1733852497,1
623,-56.3171322782,15.9803430021,1
624,-56.2877179226,15.700991255,1
625,-56.170609267,15.5105546787,1
626,-56.1399479464,15.2329282396,1
627,-56.0220687399,15.0450830221,1
628,-55.9901765146,14.7691985303,1
629,-55.8032910548,14.5524076977,1
630,-55.7018002001,14.248112791,1
631,-55.514102026,14.0362434679,1
632,-55.4795919511,13.7656987758,1
633,-55.3594839649,13.5869914659,1
634,-55.3238022246,13.3182138487,1
635,-55.2030056497,13.1420011087,1
636,-55.1661682463,12.8750015596,1
637,-55.0447006987,12.7012649641,1
638,-55.0067236317,12.4360532905,1
639,-54.8846025349,12.2647737279,1
640,-54.860018571,11.8823941521,1
641,-54.7512137856,11.5952203048,1
642,-54.7240782328,11.2149146847,1
643,-54.6000772684,11.0496064775,1
644,-54.5708756117,10.6714999436,1
645,-54.5276448313,10.4125451756,1
